HITId	WorkerId	Input.src	Input.trg	Input.item	hit	sys_id	rid	type	sid	score	time
NA	zhoeng5601	zh	en	ad	NA	NICT.5539	NA	SYSTEM	562	-0.793659901549591	26.1330001354
NA	zhoeng5601	zh	en	ad	NA	Unisound.5668	NA	SYSTEM	562	-0.793659901549591	26.1330001354
NA	zhoeng5601	zh	en	ad	NA	Unisound.5712	NA	SYSTEM	562	-0.793659901549591	26.1330001354
NA	zhoeng5601	zh	en	ad	NA	online-A.0	NA	SYSTEM	2535	-0.175464615906839	37.4300000668
NA	zhoeng5601	zh	en	ad	NA	UCAM.5586	NA	SYSTEM	3826	1.34192381248901	18.0340001583
NA	zhoeng5601	zh	en	ad	NA	Li-Muze.5736	NA	SYSTEM	3064	0.498930241157981	18.0240001678
NA	zhoeng5601	zh	en	ad	NA	Unisound.5668	NA	SYSTEM	3955	1.06092595537866	58.9619998932
NA	zhoeng5601	zh	en	ad	NA	Li-Muze.5736	NA	SYSTEM	3162	1.06092595537866	80.4679999352
NA	zhoeng5601	zh	en	ad	NA	NiuTrans.5740	NA	SYSTEM	2463	1.11712552680073	17.2159998417
NA	zhoeng5601	zh	en	ad	NA	online-F.0	NA	SYSTEM	3303	-1.41185518719234	70.9270000458
NA	zhoeng5601	zh	en	ad	NA	UMD.5681	NA	SYSTEM	1203	-0.175464615906839	23.8170001507
NA	zhoeng5601	zh	en	ad	NA	UMD.5681	NA	SYSTEM	2506	0.948526812534528	30.9819998741
NA	zhoeng5601	zh	en	ad	NA	Tencent-ensemble-system.5742	NA	REPEAT	1760	0.892327241112459	12.1619999409
NA	zhoeng5601	zh	en	ad	NA	online-A.0	NA	SYSTEM	2196	-1.52425433003648	13.6229999065
NA	zhoeng5601	zh	en	ad	NA	online-B.0	NA	SYSTEM	566	-0.231664187328907	7.82799983025
NA	zhoeng5601	zh	en	ad	NA	uedin.5652	NA	SYSTEM	958	-0.119265044484771	57.7889997959
NA	zhoeng5601	zh	en	ad	NA	uedin.5652	NA	SYSTEM	1650	1.28572424106694	16.9460000992
NA	zhoeng5601	zh	en	ad	NA	NiuTrans.5740	NA	SYSTEM	678	-1.52425433003648	7.58000016212
NA	zhoeng5601	zh	en	ad	NA	uedin.5652	NA	SYSTEM	526	-0.119265044484771	37.748000145
NA	zhoeng5601	zh	en	ad	NA	NICT.5539	NA	REPEAT	3561	-0.119265044484771	73.3129999638
NA	zhoeng5601	zh	en	ad	NA	NiuTrans.5740	NA	SYSTEM	275	1.28572424106694	34.4949998856
NA	zhoeng5601	zh	en	ad	NA	online-B.0	NA	SYSTEM	2146	1.45432295533314	52.0829999447
NA	zhoeng5601	zh	en	ad	NA	Li-Muze.5736	NA	SYSTEM	450	-0.793659901549591	26.5929999352
NA	zhoeng5601	zh	en	ad	NA	UCAM.5586	NA	SYSTEM	333	-1.130857330082	24.375
NA	zhoeng5601	zh	en	ad	NA	online-A.0	NA	SYSTEM	3915	0.386531098313844	63.6410000324
NA	zhoeng5601	zh	en	ad	NA	online-G.0	NA	BAD_REF	358	-1.46805475861441	11.1419999599
NA	zhoeng5602	zh	en	ad	NA	online-G.0	NA	SYSTEM	486	0.0562726774423608	9.41199994087
NA	zhoeng5602	zh	en	ad	NA	NiuTrans.5740	NA	BAD_REF	3104	-1.00319289466626	7.80500006676
