SRC TRG WINS TOTAL CLUSTER_START CLUSTER_END END_OF_CLUSTER SYSTEM
de en 14 16 1 8 False RWTH.5636
de en 13 16 1 8 False UCAM.5690
de en 12 16 1 8 False NTT.5666
de en 9 16 1 8 False online-B.0
de en 8 16 1 8 False MLLP-UPV.5554
de en 8 16 1 8 False JHU.5706
de en 7 16 1 8 False Ubiqus-NMT.5635
de en 8 16 1 8 True online-Y.0
de en 6 16 9 10 False online-A.0
de en 6 16 9 10 True uedin.5766
de en 4 16 11 12 False LMU-nmt.5756
de en 4 16 11 12 True NJUNMT-private.5406
de en 3 16 13 13 True online-G.0
de en 2 16 14 14 True online-F.0
de en 1 16 15 15 True RWTH-UNSUPER.5482
de en 0 16 16 16 True LMU-unsup.5650
ru en 5 8 1 3 False Alibaba.5720
ru en 5 8 1 3 False online-B.0
ru en 5 8 1 3 True online-G.0
ru en 4 8 4 4 True uedin.5739
ru en 3 8 5 5 True online-A.0
ru en 1 8 6 7 False afrl-ruen-syscomb.5440
ru en 1 8 6 7 True JHU.5675
ru en 0 8 8 8 True online-F.0
en ru 7 9 1 2 False Alibaba-ensemble-model.5713
en ru 7 9 1 2 True online-G.0
en ru 5 9 3 5 False online-B.0
en ru 4 9 3 5 False uedin.5737
en ru 4 9 3 5 True PROMT-Hybrid-Marian.5605
en ru 3 9 6 6 True PROMT-Hybrid-OpenNMT.5654
en ru 2 9 7 7 True online-A.0
en ru 1 9 8 8 True PROMT-Rule-based.5429
en ru 0 9 9 9 True online-F.0
en zh 8 14 1 7 False Tencent-ensemble-system.5760
en zh 7 14 1 7 False Unisound.5669
en zh 8 14 1 7 False GTCOM-Primary.5762
en zh 7 14 1 7 False Alibaba-ensemble-system-with-reranking.5738
en zh 7 14 1 7 False Alibaba-General-System.5749
en zh 7 14 1 7 False online-B.0
en zh 7 14 1 7 True Alibaba-General-System.5743
en zh 4 14 8 11 False UMD.5680
en zh 4 14 8 11 False NICT.5538
en zh 3 14 8 11 False online-Y.0
en zh 3 14 8 11 True online-A.0
en zh 2 14 12 12 True uedin.5735
en zh 0 14 13 14 False online-F.0
en zh 0 14 13 14 True online-G.0
en et 13 14 1 1 True tilde-nc-nmt.5449
en et 10 14 2 4 False NICT.5500
en et 10 14 2 4 False tilde-c-nmt.5565
en et 10 14 2 4 True M4t1ss.5723
en et 7 14 5 7 False Aalto.5551
en et 7 14 5 7 False HY-NMT-en-et.5469
en et 7 14 5 7 True uedin.5563
en et 5 14 8 9 False CUNI-Kocmi.5616
en et 5 14 8 9 True talp-upc.5422
en et 4 14 10 10 True online-B.0
en et 3 14 11 11 True neurotolge.ee.5399
en et 2 14 12 12 True online-A.0
en et 1 14 13 13 True online-G.0
en et 0 14 14 14 True parfda.5779
et en 13 14 1 1 True tilde-nc-nmt.5485
et en 10 14 2 9 False NICT.5664
et en 8 14 2 9 False tilde-c-nmt.5715
et en 8 14 2 9 False M4t1ss.5692
et en 8 14 2 9 False uedin.5562
et en 7 14 2 9 False tilde-c-nmt-comb.5718
et en 5 14 2 9 False online-B.0
et en 5 14 2 9 False HY-NMT-et-en.5463
et en 5 14 2 9 True talp-upc.5421
et en 3 14 10 11 False online-A.0
et en 3 14 10 11 True CUNI-Kocmi.5618
et en 2 14 12 12 True neurotolge.ee.5398
et en 1 14 13 13 True online-G.0
et en 0 14 14 14 True UnsupTartu.5722
cs en 4 5 1 1 True CUNI-Transformer.5560
cs en 3 5 2 2 True uedin.5561
cs en 2 5 3 3 True online-B.0
cs en 1 5 4 4 True online-A.0
cs en 0 5 5 5 True online-G.0
en fi 10 12 1 2 False NICT.5658
en fi 10 12 1 2 True HY-NMT-en-fi.5570
en fi 7 12 3 8 False uedin.5707
en fi 6 12 3 8 False Aalto.5550
en fi 5 12 3 8 False HY-NMTtwostep-en-fi.5639
en fi 4 12 3 8 False talp-upc.5424
en fi 4 12 3 8 False CUNI-Kocmi.5620
en fi 4 12 3 8 True online-B.0
en fi 2 12 9 10 False online-A.0
en fi 2 12 9 10 True online-G.0
en fi 0 12 11 12 False HY-SMT-en-fi.5436
en fi 0 12 11 12 True HY-AH-en-fi.5567
en cs 4 5 1 1 True CUNI-Transformer.5595
en cs 3 5 2 2 True uedin.5630
en cs 2 5 3 3 True online-B.0
en cs 1 5 4 4 True online-A.0
en cs 0 5 5 5 True online-G.0
en de 15 16 1 1 True online-Z.0
en de 11 16 2 7 False online-B.0
en de 11 16 2 7 False Microsoft-Marian.5691
en de 10 16 2 7 False MMT-production-system.5594
en de 10 16 2 7 False UCAM.5585
en de 9 16 2 7 False NTT.5667
en de 9 16 2 7 True KIT.5486
en de 6 16 8 10 False online-Y.0
en de 6 16 8 10 False JHU.5703
en de 6 16 8 10 True uedin.5770
en de 5 16 11 11 True LMU-nmt.5741
en de 4 16 12 12 True online-A.0
en de 2 16 13 14 False online-F.0
en de 2 16 13 14 True online-G.0
en de 1 16 15 15 True RWTH-UNSUPER.5484
en de 0 16 16 16 True LMU-unsup.5651
zh en 10 14 1 9 False NiuTrans.5740
zh en 5 14 1 9 False online-B.0
zh en 5 14 1 9 False UCAM.5586
zh en 5 14 1 9 False Unisound.5712
zh en 5 14 1 9 False Tencent-ensemble-system.5742
zh en 5 14 1 9 False Unisound.5668
zh en 5 14 1 9 False Li-Muze.5736
zh en 5 14 1 9 False NICT.5539
zh en 5 14 1 9 True UMD.5681
zh en 3 14 10 11 False online-Y.0
zh en 3 14 10 11 True uedin.5652
zh en 2 14 12 12 True online-A.0
zh en 1 14 13 13 True online-G.0
zh en 0 14 14 14 True online-F.0
tr en 3 5 1 2 False online-G.0
tr en 3 5 1 2 True online-A.0
tr en 1 5 3 5 False online-B.0
tr en 0 5 3 5 False uedin.5709
tr en 0 5 3 5 True NICT.5708
fi en 6 9 1 7 False NICT.5515
fi en 6 9 1 7 False HY-NMT-fi-en.5569
fi en 4 9 1 7 False uedin.5631
fi en 2 9 1 7 False CUNI-Kocmi.5619
fi en 2 9 1 7 False online-B.0
fi en 2 9 1 7 False talp-upc.5423
fi en 2 9 1 7 True online-A.0
fi en 1 9 8 8 True online-G.0
fi en 0 9 9 9 True JUCBNMT.5559
en tr 5 8 1 6 False online-B.0
en tr 5 8 1 6 False uedin.5644
en tr 3 8 1 6 False alibaba-ensemble-model.5732
en tr 2 8 1 6 False NICT.5695
en tr 2 8 1 6 False alibaba-ensemble-model.5744
en tr 2 8 1 6 True online-G.0
en tr 1 8 7 7 True RWTH.5632
en tr 0 8 8 8 True online-A.0
